epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.29543,1.04232,2.64927,1.37978,0.77165,0.83333,0.8885,0.6543,1.43525,1.40122,1.28202,0,0,0
2,9.43555,1.06671,3.00596,1.39913,0.80665,0.75,0.87458,0.64242,1.4584,1.41151,1.28874,1.16644e-06,1.16644e-06,1.16644e-06
3,14.3381,0.79355,2.97274,1.29883,0.75292,0.75,0.87432,0.63408,1.47949,1.4336,1.30171,2.28575e-06,2.28575e-06,2.28575e-06
4,19.1529,1.42879,2.79282,1.93201,0.70605,0.75,0.87469,0.60304,1.49308,1.4631,1.30806,3.35794e-06,3.35794e-06,3.35794e-06
5,22.8654,1.17201,3.50616,1.64705,0.68138,0.75,0.87495,0.6013,1.50913,1.46491,1.3127,4.38301e-06,4.38301e-06,4.38301e-06
6,26.6753,1.0369,2.57767,1.3315,0.68394,0.75,0.87497,0.58939,1.52851,1.50214,1.32204,5.36095e-06,5.36095e-06,5.36095e-06
7,30.39,1.02505,2.60635,1.35238,0.6908,0.75,0.88912,0.58876,1.54881,1.54022,1.33929,6.29177e-06,6.29177e-06,6.29177e-06
8,35.0805,0.93949,2.34476,1.27832,0.82208,0.58333,0.88897,0.61962,1.57158,1.61919,1.36616,7.17546e-06,7.17546e-06,7.17546e-06
9,39.054,1.13049,3.49259,1.40857,0.80504,0.58333,0.8335,0.61125,1.57471,1.65355,1.36543,8.01203e-06,8.01203e-06,8.01203e-06
10,43.1014,0.98346,2.61472,1.22803,0.78702,0.58333,0.83366,0.59497,1.55984,1.70278,1.36684,8.80148e-06,8.80148e-06,8.80148e-06
11,47.4488,1.29049,2.83852,1.50989,0.76645,0.58333,0.75125,0.58655,1.56258,1.75075,1.37822,9.5438e-06,9.5438e-06,9.5438e-06
12,51.183,0.90992,2.22984,1.32295,0.74642,0.58333,0.75052,0.58649,1.55167,1.76135,1.37322,1.0239e-05,1.0239e-05,1.0239e-05
13,55.2175,1.11423,2.41578,1.48693,0.72726,0.58333,0.75067,0.58653,1.5494,1.77542,1.36652,1.08871e-05,1.08871e-05,1.08871e-05
14,61.2552,1.05047,2.51089,1.3836,0.72735,0.58333,0.75086,0.56993,1.55205,1.8038,1.36548,1.1488e-05,1.1488e-05,1.1488e-05
15,66.16,1.09732,1.83897,1.46562,0.75304,0.58333,0.75088,0.56996,1.54778,1.83115,1.36692,1.20418e-05,1.20418e-05,1.20418e-05
16,71.6024,1.00903,2.51782,1.46783,0.94701,0.39216,0.75165,0.57009,1.55211,1.87069,1.36443,1.25486e-05,1.25486e-05,1.25486e-05
17,75.8146,0.95938,2.38307,1.37494,0.94651,0.39199,0.66617,0.50184,1.54033,1.89429,1.35052,1.30081e-05,1.30081e-05,1.30081e-05
18,79.6788,1.20526,2.24623,1.50587,0.94651,0.39199,0.66617,0.50184,1.54033,1.89429,1.35052,1.34206e-05,1.34206e-05,1.34206e-05
19,83.1446,1.09741,1.76229,1.37374,0.94636,0.39139,0.63836,0.4686,1.55211,1.94417,1.35621,1.37859e-05,1.37859e-05,1.37859e-05
20,86.6011,0.89763,1.71038,1.19803,0.94636,0.39139,0.63836,0.4686,1.55211,1.94417,1.35621,1.41041e-05,1.41041e-05,1.41041e-05
21,90.0171,1.06987,3.01921,1.46524,0.94638,0.39107,0.61073,0.45959,1.59302,2.00934,1.38238,1.43752e-05,1.43752e-05,1.43752e-05
22,93.2665,0.81308,2.09311,1.39398,0.94638,0.39107,0.61073,0.45959,1.59302,2.00934,1.38238,1.45992e-05,1.45992e-05,1.45992e-05
23,96.6924,1.25748,1.87577,1.47148,0.94658,0.39041,0.6069,0.43938,1.62148,2.05269,1.4079,1.4776e-05,1.4776e-05,1.4776e-05
24,100.052,0.96727,1.85321,1.30122,0.94658,0.39041,0.6069,0.43938,1.62148,2.05269,1.4079,1.49057e-05,1.49057e-05,1.49057e-05
25,103.628,0.86103,2.0711,1.29095,0.94659,0.39027,0.61066,0.43715,1.67045,2.1386,1.44781,1.49883e-05,1.49883e-05,1.49883e-05
26,107.153,0.91629,1.81878,1.38981,0.94659,0.39027,0.61066,0.43715,1.67045,2.1386,1.44781,1.50238e-05,1.50238e-05,1.50238e-05
27,110.781,0.89523,1.74092,1.26573,0.94765,0.38914,0.60715,0.43599,1.68694,2.18329,1.46606,1.50121e-05,1.50121e-05,1.50121e-05
28,114.213,0.93938,1.68719,1.28874,0.94765,0.38914,0.60715,0.43599,1.68694,2.18329,1.46606,1.49533e-05,1.49533e-05,1.49533e-05
29,118.666,1.35309,2.35795,1.52922,0.94571,0.38333,0.58674,0.43287,1.72447,2.23762,1.51484,1.48474e-05,1.48474e-05,1.48474e-05
30,123.407,0.82537,1.6377,1.18583,0.94571,0.38333,0.58674,0.43287,1.72447,2.23762,1.51484,1.46944e-05,1.46944e-05,1.46944e-05
31,127.713,0.912,1.6184,1.26261,0.94972,0.3871,0.59409,0.41713,1.73636,2.2868,1.53354,1.44942e-05,1.44942e-05,1.44942e-05
32,131.503,1.006,1.58076,1.29559,0.94972,0.3871,0.59409,0.41713,1.73636,2.2868,1.53354,1.42469e-05,1.42469e-05,1.42469e-05
33,135.335,0.98396,1.8304,1.36673,0.94923,0.38652,0.50282,0.35081,1.75034,2.28665,1.55637,1.39525e-05,1.39525e-05,1.39525e-05
34,138.658,0.847,1.66386,1.34288,0.94923,0.38652,0.50282,0.35081,1.75034,2.28665,1.55637,1.3611e-05,1.3611e-05,1.3611e-05
35,142.163,0.93586,1.6132,1.26637,0.94905,0.38646,0.45886,0.30988,1.76523,2.33004,1.57108,1.32223e-05,1.32223e-05,1.32223e-05
36,145.709,0.81208,1.50735,1.19873,0.94905,0.38646,0.45886,0.30988,1.76523,2.33004,1.57108,1.27866e-05,1.27866e-05,1.27866e-05
37,149.358,1.13559,2.20704,1.45664,0.94934,0.38661,0.41782,0.2727,1.7856,2.38304,1.58715,1.23036e-05,1.23036e-05,1.23036e-05
38,153.282,1.01925,1.84176,1.35213,0.94934,0.38661,0.41782,0.2727,1.7856,2.38304,1.58715,1.17736e-05,1.17736e-05,1.17736e-05
